"COUNTRY","Country","SERIES","Series","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","USDPPP","In 2019 constant prices at 2019 USD PPPs","2000","2000","USD","US Dollar","0","Units","2019","2019",46156.0047121828,,
"AUS","Australia","USDPPP","In 2019 constant prices at 2019 USD PPPs","2001","2001","USD","US Dollar","0","Units","2019","2019",46658.3804852012,,
"AUS","Australia","USDPPP","In 2019 constant prices at 2019 USD PPPs","2002","2002","USD","US Dollar","0","Units","2019","2019",46979.506131264,,
"AUS","Australia","USDPPP","In 2019 constant prices at 2019 USD PPPs","2003","2003","USD","US Dollar","0","Units","2019","2019",47529.0885545581,,
"AUS","Australia","USDPPP","In 2019 constant prices at 2019 USD PPPs","2004","2004","USD","US Dollar","0","Units","2019","2019",49007.9772384394,,
"AUS","Australia","USDPPP","In 2019 constant prices at 2019 USD PPPs","2005","2005","USD","US Dollar","0","Units","2019","2019",49641.4713839173,,
"AUS","Australia","USDPPP","In 2019 constant prices at 2019 USD PPPs","2006","2006","USD","US Dollar","0","Units","2019","2019",49962.5233994728,,
"AUS","Australia","USDPPP","In 2019 constant prices at 2019 USD PPPs","2007","2007","USD","US Dollar","0","Units","2019","2019",51341.2511054947,,
"AUS","Australia","USDPPP","In 2019 constant prices at 2019 USD PPPs","2008","2008","USD","US Dollar","0","Units","2019","2019",51755.3025783172,,
"AUS","Australia","USDPPP","In 2019 constant prices at 2019 USD PPPs","2009","2009","USD","US Dollar","0","Units","2019","2019",51286.0480908596,,
"AUS","Australia","USDPPP","In 2019 constant prices at 2019 USD PPPs","2010","2010","USD","US Dollar","0","Units","2019","2019",53054.7258534218,,
"AUS","Australia","USDPPP","In 2019 constant prices at 2019 USD PPPs","2011","2011","USD","US Dollar","0","Units","2019","2019",54732.8801607659,,
"AUS","Australia","USDPPP","In 2019 constant prices at 2019 USD PPPs","2012","2012","USD","US Dollar","0","Units","2019","2019",55058.2119406553,,
"AUS","Australia","USDPPP","In 2019 constant prices at 2019 USD PPPs","2013","2013","USD","US Dollar","0","Units","2019","2019",54805.6245489794,,
"AUS","Australia","USDPPP","In 2019 constant prices at 2019 USD PPPs","2014","2014","USD","US Dollar","0","Units","2019","2019",55226.3203023977,,
"AUS","Australia","USDPPP","In 2019 constant prices at 2019 USD PPPs","2015","2015","USD","US Dollar","0","Units","2019","2019",54773.9937610653,,
"AUS","Australia","USDPPP","In 2019 constant prices at 2019 USD PPPs","2016","2016","USD","US Dollar","0","Units","2019","2019",54799.8625972134,,
"AUS","Australia","USDPPP","In 2019 constant prices at 2019 USD PPPs","2017","2017","USD","US Dollar","0","Units","2019","2019",54327.0447669041,,
"AUS","Australia","USDPPP","In 2019 constant prices at 2019 USD PPPs","2018","2018","USD","US Dollar","0","Units","2019","2019",54147.4704963865,,
"AUS","Australia","USDPPP","In 2019 constant prices at 2019 USD PPPs","2019","2019","USD","US Dollar","0","Units","2019","2019",54401.4252961007,,
"AUT","Austria","USDPPP","In 2019 constant prices at 2019 USD PPPs","2000","2000","USD","US Dollar","0","Units","2019","2019",48301.7717156167,,
"AUT","Austria","USDPPP","In 2019 constant prices at 2019 USD PPPs","2001","2001","USD","US Dollar","0","Units","2019","2019",48178.3274349428,,
